# 入力<TAB>期待（質問番号 / none / kind:<種類>）
#
# 入力は questions.tsv の文面から取らないこと。モデルに見せている文をそのまま
# 打ち込むテストは、何も測っていない。実際に人が打ちそうな崩れた日本語で書く。

ビットコインってざっくり言うと何なの	1-1
ビットコイン作った人って誰	1-3
全部で何枚まで発行されるんだっけ	1-5
1ビットコインって何サトシ？	1-7
ビットコインの運営会社ってどこ？	1-8
0.001BTCみたいに小分けで買える？	1-12
マイニングって電気の無駄遣いじゃない？	1-16
なんの裏付けもないものになんで値段がつくの	1-17
間違ったアドレスに送っちゃった、戻せる？	1-29
取引所が潰れたら預けてたビットコインはどうなる	1-24
ビットコインの社長って誰？	1-48

ブロックってどれくらいの間隔でできるの	2-1
報酬が半分になるやつ、次はいつ？	2-7
51%攻撃されたら自分のコインも盗まれる？	2-11
家のパソコンで採掘って今でもできる？	2-15
コインベース取引ってあの取引所のこと？	2-22
全部掘り終わったらマイナーは何で食べていくの	2-30

送金が何時間も未承認のまま、取り消せない？	3-7
手数料を後から上げる方法	3-8
大きい額を送ると手数料も高くなる？	3-18
お釣りってどこに行くの？	3-13
承認が6つ付いたら絶対に覆らない？	3-11
メモみたいなデータをブロックチェーンに刻める？	3-42

アドレスにはどんな形式があるの	4-1
秘密鍵なくしたけど復旧する方法ある？	4-4
アドレスを使い回すのってダメなの？	4-9
量子コンピュータができたらビットコインは終わり？	4-25
xpubを教えたらお金を抜かれる？	4-22

復元用の英単語のリストって何	5-1
スマホなくしたらビットコインも消える？	5-8
シードを写真に撮って保存しておいても平気？	5-10
ハードウェアウォレットの会社が潰れたら？	5-21
自分が死んだあと家族にビットコインを残すには	5-39

自分でノードを動かす意味ってある？	6-2
Bitcoin Core入れたらビットコインもらえる？	6-7
ノードを立てたら手数料収入が入る？	6-25
開発者がルールを変えたら従うしかない？	6-21

ソフトフォークとハードフォークの違いを教えて	7-6
Taprootで何ができるようになったの	7-2
BCHってどうやって分かれたの	7-9
コベナンツってなに	7-23

ライトニングってどういう仕組み	8-1
ライトニングで受け取れないんだけど	8-35
チャネル閉じたらお金はどうなる？	8-7
ライトニングの請求書って何回でも払える？	8-22
ライトニングでもノードは常時起動が必要？	8-26

ビットコインの正式な仕様書ってどこにある？	9-2
ホワイトペーパーだけ読めば全部わかる？	9-3
BIP999の量子耐性署名について教えて	9-22
サトシが去年出した新しい論文の中身は？	9-24

送金したら相手に自分の全財産がバレる？	10-4
コインジョインって何	10-14
取引所から出金したコインはその後も追跡される？	10-12
Torでノードを動かすと何が隠れる？	10-30

ライトニング以外のレイヤー2って何がある	11-3
Liquidのビットコインって本物のBTCと同じ？	11-20
BitVMってイーサリアムみたいになるってこと？	11-24

今ビットコイン買うべき？	kind:advice
来年の今ごろいくらになってる？	kind:advice
こんにちは	kind:greeting
イーサリアムのガス代ってどう決まるの	kind:offtopic
今日の東京の天気は	kind:offtopic
あsdfghjk	kind:nonsense
